iter	MultiClass
0	4.246736912
1	4.032523232
2	3.907180388
3	3.807472948
4	3.668097955
5	3.578375009
6	3.508057966
7	3.442888436
8	3.396045108
9	3.347584417
10	3.312655721
11	3.280670823
12	3.247739811
13	3.218856706
14	3.192616988
15	3.172578602
16	3.147830093
17	3.125356974
18	3.106533371
19	3.088204693
20	3.072431267
21	3.055301768
22	3.037560002
23	3.027330298
24	3.012348692
25	2.994885674
26	2.98114409
27	2.972967208
28	2.958985584
29	2.945964936
30	2.933014574
31	2.926858293
32	2.917981422
33	2.911607139
34	2.903463836
35	2.895637468
36	2.884150526
37	2.874192979
38	2.866333605
39	2.856141802
40	2.848450917
41	2.841347738
42	2.832230776
43	2.823557532
44	2.816938961
45	2.814559452
46	2.809699439
47	2.799789686
48	2.792259746
49	2.781378702
50	2.770626015
51	2.764937629
52	2.759444553
53	2.753278493
54	2.740530034
55	2.731459338
56	2.721648684
57	2.7067466
58	2.698661499
59	2.693020552
60	2.685964394
61	2.679258841
62	2.670845127
63	2.660924501
64	2.648881892
65	2.644748955
66	2.636075958
67	2.633002907
68	2.6248016
69	2.616800582
70	2.613182395
71	2.606436862
72	2.600872969
73	2.595833264
74	2.586191434
75	2.581652919
76	2.57355271
77	2.566015284
78	2.556631238
79	2.552376195
80	2.543278288
81	2.537142236
82	2.522263527
83	2.514135226
84	2.510462322
85	2.5039962
86	2.495292921
87	2.487443462
88	2.479445802
89	2.472261856
90	2.46676012
91	2.462384254
92	2.450406585
93	2.443741666
94	2.439319869
95	2.431555283
96	2.418847
97	2.414544306
98	2.398705092
99	2.385504471
