iter	Passed	Remaining
0	10457	1035312
1	12969	635507
2	31282	1011465
3	40675	976204
4	56786	1078952
5	60451	947067
6	75713	1005911
7	88257	1014961
8	103707	1048601
9	111586	1004278
10	128571	1040261
11	145038	1063618
12	160219	1072237
13	175638	1078920
14	184318	1044469
15	186981	981651
16	204216	997056
17	221099	1007229
18	237334	1011793
19	253156	1012627
20	271638	1021877
21	287278	1018533
22	302335	1012166
23	304968	965732
24	320965	962895
25	337351	960153
26	353735	956397
27	360302	926492
28	376317	921328
29	392360	915508
30	408152	908468
31	412476	876513
32	431259	875586
33	449456	872474
34	467934	869021
35	486402	864716
36	503551	857398
37	519468	847553
38	536318	838856
39	551849	827774
40	568916	818684
41	585304	808278
42	601201	796941
43	619626	788615
44	637716	779431
45	640452	751836
46	658823	742928
47	674462	730668
48	692771	721047
49	707873	707873
50	723857	695470
51	742055	684974
52	760373	674293
53	778801	663423
54	795047	650493
55	810319	636679
56	825707	622901
57	841007	609005
58	857807	596103
59	874573	583049
60	890695	569461
61	903352	553667
62	919972	540301
63	935160	526027
64	951731	512470
65	969194	499282
66	984302	484805
67	1002242	471643
68	1018426	457553
69	1034732	443456
70	1052305	429814
71	1068318	415457
72	1083773	400847
73	1101092	386870
74	1116927	372309
75	1134274	358191
76	1150529	343664
77	1166212	328931
78	1181497	314068
79	1198434	299608
80	1213412	284627
81	1230430	270094
82	1246385	255283
83	1261377	240262
84	1278722	225656
85	1294796	210780
86	1309943	195738
87	1326102	180832
88	1342202	165890
89	1358841	150982
90	1375865	136074
91	1392925	121123
92	1408388	106007
93	1424264	90910
94	1441705	75879
95	1458063	60752
96	1471945	45524
97	1489307	30394
98	1503287	15184
99	1517383	0
